id;series;booktitle;year;title;abstract;authors;pdf1page;pdfarticle
1;revue/nouvelles/technologies/information;egc;2018;ideo2017/plateforme/citoyenne/dediee/analyse/tweets/lors/evenements/politiques;plateforme/objectif/permettre/citoyens/analyser/memes/tweets/politiques/lors/evenements/specifiques/france/cas/election/presidentielle/2017/ideo2017/analysait/quasi/temps/reel/messages/candidats/fournissait/principales/caracteristiques/usage/lexique/politique/comparaisons/candidats;claudiamarinica/julienlonghi/naderhassine/abdulhafizalkhouli/borisborzic;['http://editions-rnti.fr/render_pdf.php?p1&p=1002425'];['http://editions-rnti.fr/render_pdf.php?p=1002425']
2;revue/nouvelles/technologies/information;egc;2018;two/level/co/clustering/algorithm/large/data/sets;classification/croisee/co/clustering/technique/permet/extraire/structure/jacente/existante/lignes/colonnes/table/donnees/forme/blocs/applications/utilisent/technique/algorithmes/co/clustering/actuels/passent/echelle/approches/utilisees/succes/methode/modl/optimise/critere/vraisemblance/regularisee/cependent/tailles/importante/methode/atteint/limite/article/presentons/nouvel/algorithme/co/clustering/niveaux/compte/tenu/critere/modl/permet/traiter/efficacement/donnees/tres/grande/taille/pouvant/tenir/memoire/experiences/montrent/approche/proposee/gagne/temps/calcul/produisant/solutions/qualite;mariusbarctus/marcboulle/fabriceclerot;['http://editions-rnti.fr/render_pdf.php?p1&p=1002372'];['http://editions-rnti.fr/render_pdf.php?p=1002372']
3;revue/nouvelles/technologies/information;egc;2018;algeospf/modele/factorisation/base/clustering/geographique/recommandation/poi;recommandation/points/interets/devenue/caracteristique/essentielle/reseaux/sociaux/geo/localises/accompagne/emergence/echanges/massifs/donnees/digitales/faibles/densites/points/interets/visites/utilisateurs/rendentle/probleme/difficile/traiter/autant/espaces/mobilite/utilisateurs/tres/heterogenes/allant/ville/monde/entier/papier/explorons/impact/approche/clustering/spatial/qualite/recommandation/approche/basee/modele/factorisation/matrices/poisson/reseau/social/infere/differents/comportements/mobilite/conduit/evaluation/comparative/performances/approche/unjeu/donnees/realiste/resultats/experimentaux/montrent/approche/permet/precision/superieure/techniques/recommandation/alternatives;jeanbenoitgriesner/talelabdesssalem/hubertnaacke/pierredosne;['http://editions-rnti.fr/render_pdf.php?p1&p=1002380'];['http://editions-rnti.fr/render_pdf.php?p=1002380']
4;revue/nouvelles/technologies/information;egc;2018;analyse/sentiments/partir/commentaires/facebook/publies/arabe/standard/dialectal/marocain/approche/apprentissage/automatique;analyse/sentiments/processus/polarite/positive/negative/neutre/texte/donne/determinee/interessons/travail/analyse/sentiments/partir/commentaires/facebook/reels/partages/arabe/standard/dialectal/marocain/approche/basee/apprentissage/automatique/processus/commence/collecte/commentaires/annotation/aide/crowdsourcing/suivi/phase/pretraitement/texte/extraire/mots/arabes/reduits/racine/mots/utilises/construction/variables/entreeen/utilisant/combinaisons/schemas/extraction/ponderation/reduire/dimensionnalite/methode/selection/variables/appliquee/resultats/obtenus/experimentations/tres/prometteurs;abdeljalilelouardighi/mohcinemaghfour/hafdallahammia/fatimazahraaazi;['http://editions-rnti.fr/render_pdf.php?p1&p=1002397'];['http://editions-rnti.fr/render_pdf.php?p=1002397']
5;revue/nouvelles/technologies/information;egc;2018;analyse/roles/semantiques/resume/automatique;article/presente/approche/visant/extraire/informations/exprimees/corpus/textes/produire/resume/variantes/methodes/extractives/resume/texte/ete/implementees/evaluees/principale/originalite/reside/exploitation/structures/appelees/cds/pourclause/description/structure/issues/composant/annotation/roles/semantiqueset/directement/phrases/composant/textes/resume/obtenuest/ensemble/cds/issus/corpus/origine/format/permettradans/suite/detection/incoherences/textuelles/travail/retransformons/cds/resumes/texte/permettre/comparaison/approche/litterature/premiers/resultats/tres/encourageants/variantes/proposons/obtiennent/generalement/meilleurs/scores/implementations/methodes/reference;elyaselassouli/yasminemesbahi/camillepradel/damiensileo;['http://editions-rnti.fr/render_pdf.php?p1&p=1002384'];['http://editions-rnti.fr/render_pdf.php?p=1002384']
6;revue/nouvelles/technologies/information;egc;2018;analyse/ontologique/scenario/contexte/big/data;;marwanbatrouni/aureliebertaux/christophenicolle;['http://editions-rnti.fr/render_pdf.php?p1&p=1002414'];['http://editions-rnti.fr/render_pdf.php?p=1002414']
7;revue/nouvelles/technologies/information;egc;2018;apport/fouille/donnees/prevention/risque/suicidaire;800/000/deces/monde/suicide/troisieme/cause/deces/evitable/20/fois/tentatives/impliquant/hospitalisations/couts/humains/societaux/enormes/dernieres/annees/modalites/collecte/donnees/sociologiques/cliniques/patients/recus/consultation/apres/tentative/connu/profonds/changements/lies/outils/numeriques/presentons/principaux/resultats/processus/complet/fouille/donnees/echantillon/suicidants/hopitaux/europeens/objectif/identifier/groupes/patients/similaires/second/identifier/facteurs/risque/associes/nombre/tentatives/methodes/supervisees/acm/clustering/supervisees/arbres/regression/appliquees/repondre/resultats/mettent/lumiere/apport/fouille/donnees/fins/descriptives/explicatives;romainbillot/sofianberrouiguet/marklarsen/michelwalter/jorgelopezcastroman/enriquebacagarcia/philippecourtet/philippelenca;['http://editions-rnti.fr/render_pdf.php?p1&p=1002376'];['http://editions-rnti.fr/render_pdf.php?p=1002376']
8;revue/nouvelles/technologies/information;egc;2018;apport/modeles/locaux/k/moyennes/predictives;cadre/clustering/predictif/attribuer/classe/groupes/formes/fin/phase/apprentissage/vote/majoritaire/methode/communement/utilisee/approche/comporte/limitations/influent/directement/qualite/resultats/obtenus/termes/prediction/surmonter/probleme/proposons/incorporer/modeles/predictifs/localement/clusters/formes/ameliorer/qualite/predictive/modele/global/resultats/experimentaux/montrent/incorporation/permet/obtenir/resultats/termes/prediction/significativement/meilleurs/rapport/obtenus/utilisant/vote/majoritaire/resultats/tres/competitifs/obtenus/algorithmes/performants/apprentissage/supervise/similaires/effectue/degrader/pouvoir/descriptif/explicatif/modele/global;vincentlemaire/oumaimaalaouiismaili;['http://editions-rnti.fr/render_pdf.php?p1&p=1002379'];['http://editions-rnti.fr/render_pdf.php?p=1002379']
9;revue/nouvelles/technologies/information;egc;2018;apprendre/relations/preference/co/occurrence/labels/classification/multi/labels;classification/multi/labels/instance/associee/labels/exemple/morceau/musique/associe/labels/heureux/relaxant/relations/co/occurrence/exister/labels/exemple/labels/heureux/triste/associes/meme/morceau/musique/labels/relations/preference/exemple/morceau/musique/contenant/piques/label/heureux/prefere/rapport/label/relaxant/relations/labels/aider/mieux/predire/labels/associes/instances/approches/existantes/apprendre/relations/co/occurrence/relations/preference/travail/introduit/approche/permettant/combiner/apprentissage/types/relations/experimentations/meneesmontrent/nouvelle/approche/introduite/offre/meilleurs/resultatsde/prediction/rapports/approches/etat/art;khalillaghmari/christophemarsala/mohammedramdani;['http://editions-rnti.fr/render_pdf.php?p1&p=1002381'];['http://editions-rnti.fr/render_pdf.php?p=1002381']
10;revue/nouvelles/technologies/information;egc;2018;approche/contextuelle/regression/tests/b;tests/b/procedures/utilisees/entreprises/web/sante/mesurer/impact/changement/version/variable/rapport/objectif/nombre/plus/important/donnees/disponible/mise/place/concrete/test/impliquer/cout/important/relatif/observation/evaluation/variation/optimale/papier/presentons/nouvelle/approche/integrant/principe/bandit/contextuel/prenant/compte/variables/procedure/destratification;emmanuelleclaeys/pierregancarski/myriammaumybertrand;['http://editions-rnti.fr/render_pdf.php?p1&p=1002387'];['http://editions-rnti.fr/render_pdf.php?p=1002387']
11;revue/nouvelles/technologies/information;egc;2018;big/data/understanding/human/dynamics/power/networks;;foscagiannotti;['http://editions-rnti.fr/render_pdf.php?p1&p=1002363'];['http://editions-rnti.fr/render_pdf.php?p=1002363']
12;revue/nouvelles/technologies/information;egc;2018;cartes/auto/organisatrices/incrementales/appliquees/clustering/collaboratif;clustering/collaboratif/cc/vise/faire/ressortir/structures/communes/presentes/vues/independantes/basant/premiere/etape/clustering/locale/effectuee/cas/aide/cartesauto/organisatrices/som/self/organizing/maps/anglais/faire/face/quantite/croissante/donnees/disponibles/utilisation/methodesde/clustering/incrementales/devenue/necessaire/papier/presente/unalgorithme/som/incrementales/compatibles/contraintes/cc/experimentations/conduites/jeux/donnees/demontrent/validite/methode/presentent/influence/taille/batch/utilise/lors/apprentissage;denismaurel/jeremiesublime/sylvainlefebvre;['http://editions-rnti.fr/render_pdf.php?p1&p=1002418'];['http://editions-rnti.fr/render_pdf.php?p=1002418']
13;revue/nouvelles/technologies/information;egc;2018;categorisation/articles/scientifiques/basee/relations/semantiques/mots/cles;;bastienlatard/jonathanweber/germainforestier/michelhassenforder;['http://editions-rnti.fr/render_pdf.php?p1&p=1002406'];['http://editions-rnti.fr/render_pdf.php?p=1002406']
14;revue/nouvelles/technologies/information;egc;2018;classification/donnees/complexes/globalisation/mesures/similarite/moyennes/quasi/arithmetiques;plupart/methodes/classification/concues/types/particuliers/donnees/donnees/numeriques/textuelles/categoriques/fonctionnelles/probabilistes/type/graphes/donnees/generees/quotidien/general/composees/donnees/types/mixtes/exemple/considerons/prevention/cardiaque/domaine/sante/applications/combiner/donnees/issues/capteurs/donnees/age/niveau/effort/frequence/cardiaque/maximale/histogrammes/frequences/cardiaques/moyennes/lors/precedents/efforts/amene/problematique/construire/classes/compte/differentes/donnees/definir/mesure/similarite/partir/similarites/paires/objets/differents/types/variables/article/proposons/methode/classification/basee/fusion/matrices/similarite/aide/moyennes/quasi/arithmetiques/permet/choisir/differentes/dimensions/donnees/considerer/type/donnees/autant/mesure/similarite/dissimilarite/existe/types/donnees/tres/souvent/cas;etiennecuvelier/marieaudeaufaure;['http://editions-rnti.fr/render_pdf.php?p1&p=1002368'];['http://editions-rnti.fr/render_pdf.php?p=1002368']
15;revue/nouvelles/technologies/information;egc;2018;community/structure/complex/networks;;santofortunato;['http://editions-rnti.fr/render_pdf.php?p1&p=1002362'];['http://editions-rnti.fr/render_pdf.php?p=1002362']
16;revue/nouvelles/technologies/information;egc;2018;comparaison/mesures/centralite/basees/courts/chemins/reseaux/dynamiques;definir/importance/noeuds/reseaux/statiques/question/recherche/tres/etudiee/annees/dernierement/adaptations/metriques/classiques/ete/proposees/reseaux/dynamiques/methodes/reposent/approches/tres/differentes/facon/evaluer/importance/noeuds/instant/donne/necessaire/pouvoir/evaluer/comparer/article/comparons/approches/existes/mieux/comprendre/differencie/montrons/nature/jeux/donnees/influe/grandement/comportement/methodes/notion/importance/pertinente;marwanghanem/clemencemagnien/fabientarissan;['http://editions-rnti.fr/render_pdf.php?p1&p=1002416'];['http://editions-rnti.fr/render_pdf.php?p=1002416']
17;revue/nouvelles/technologies/information;egc;2018;complementarites/representations/vectorielles/similarite/semantique;tache/similarite/semantique/textuelle/consiste/exprimer/automatiquement/nombre/refletant/similarite/semantique/fragmentsde/texte/annee/2012/campagnes/semeval/deroulent/tache/similarite/semantique/textuelle/article/presente/methode/associant/differentes/representations/vectorielles/phrases/objectif/ameliorer/resultats/obtenus/similarite/semantique/hypothese/differentes/representations/permettraient/representer/differents/aspects/semantiques/extension/ameliorer/similarites/calculees/principale/difficulte/selectionner/representations/complementaires/tache/systeme/base/systeme/vainqueur/campagne/2015/methode/selection/complementarite/resultats/obtenus/viennent/confirmer/interet/methode/lorsqu/compares/resultats/campagne/2016;julienhay/timvandecruys/philippemuller/bichliendoan/fabricepopineau/lyesbenamsili;['http://editions-rnti.fr/render_pdf.php?p1&p=1002378'];['http://editions-rnti.fr/render_pdf.php?p=1002378']
18;revue/nouvelles/technologies/information;egc;2018;contextualisation/singularites/temps/reel/extraction/connaissances/web/donnees;emergence/iot/traitement/temps/reel/oblige/entreprises/considerer/detection/anomalies/element/cle/activite/garantir/haute/precision/processus/detection/metadonnees/fournissant/contexte/spatio/temporel/mesures/capteurs/necessaires/article/presentons/systeme/generique/aide/capturer/analyser/qualifier/stocker/informations/contextuelles/domaine/application/donne/approche/proposee/basee/methodes/semantiques/exploitent/ontologies/evaluer/pertinence/information/contextuelle/apres/description/composants/principaux/architecture/performance/pertinence/systeme/demontrees/evaluation/ensembles/donnees/monde/reel;badrebelabbess/jeremylhez/musabbairat/oliviercure;['http://editions-rnti.fr/render_pdf.php?p1&p=1002369'];['http://editions-rnti.fr/render_pdf.php?p=1002369']
19;revue/nouvelles/technologies/information;egc;2018;contraintes/prescriptives/compatibles/owl2/er/evaluer/completude/ontologies;article/definit/contraintes/prescriptives/regles/permettant/moteurs/inference/verifier/objets/formels/reellement/utilises/seulement/inferes/conditions/montre/contraintes/necessitent/exploiter/mecanisme/heritage/mecanismes/ajoutant/relations/objets/tests/conclusions/regles/donne/methode/generale/effectuer/commandes/sparql/implementer/methode/regles/representees/relations/classe/conditions/conclusions/article/illustre/commandes/verification/patrons/conception/ontologies/generalement/approche/utilisee/verifier/completude/ontologie/representer/ontologie/plutot/requetes/procedures/ad/hoc/contraintes/permettant/calculer/degre/completude/ontologie/approche/aider/elicitation/modelisation/validation/connaissances;philippemartin/junjo;['http://editions-rnti.fr/render_pdf.php?p1&p=1002366'];['http://editions-rnti.fr/render_pdf.php?p=1002366']
20;revue/nouvelles/technologies/information;egc;2018;contribution/etude/distributivite/treillis/concepts;interessons/treillis/distributifs/cadre/analyse/formelle/concepts/fca/motivation/primitive/vient/phylogenie/graphes/medians/representer/derivations/biologiques/arbres/parcimonieux/fca/propose/algorithmes/efficaces/construction/treillis/concepts/treillis/concepts/correspondance/graphe/median/distributif/idee/etudier/transformation/treillis/concepts/treillis/distributif/faire/appuyons/theoreme/representation/birkhoff/permet/systematiser/transformation/contexte/contexte/treillis/concepts/distributif/pouvons/beneficier/algorithmique/fca/construire/visualiser/treillis/concepts/distributifs/enfin/etudier/graphes/medians/associes;alaingely/miguelcouceiro/yassinenamir/amedeonapoli;['http://editions-rnti.fr/render_pdf.php?p1&p=1002373'];['http://editions-rnti.fr/render_pdf.php?p=1002373']
21;revue/nouvelles/technologies/information;egc;2018;decouverte/motifs/graduels/partiellement/ordonnes/application/donnees/experiences/scientifiques;donnees/sequentielles/omnipresentes/concernent/domaines/application/fouille/donnees/sequences/permet/extraire/informations/connaissances/pouvant/forte/valeur/ajoutee/donnees/sequences/riches/donnees/numeriques/methodes/fouille/donnees/fines/necessaires/extraire/connaissances/expressives/representant/variabilite/desvaleurs/numeriques/eventuelle/interdependance/article/presentons/nouvelle/methode/decouverte/sequences/graduelles/frequentes/representees/graphes/partir/source/donnees/sequences/rdf/resource/description/framework/1/dernieres/transformees/graphes/graduels/partiellement/ordonnes/gpo/proposons/algorithme/permettant/decouvrir/graphes/gpo/frequents/experimentation/jeux/donnees/reelles/montre/faisabilite/pertinence/approche;simonser/fatihasais/maguelonneteisseire;['http://editions-rnti.fr/render_pdf.php?p1&p=1002382'];['http://editions-rnti.fr/render_pdf.php?p=1002382']
22;revue/nouvelles/technologies/information;egc;2018;definir/categories/dbpedia/regles/associations/redescriptions;dbpedia/encode/connaissances/wikipedia/devenue/base/reference/web/donnees/ressources/repertoriees/categories/definies/manuellement/semantique/directement/accessible/machines/article/proposons/remedier/lacune/moyen/methodes/fouille/donnees/savoir/recherche/regles/associations/motifs/apparentes/presentonsune/etude/comparative/variantes/partie/dbpedia/discutons/potentiel/differentes/approches;justinereynaud/esthergalbrun/mehwishalam/yannicktoussaint/amedeonapoli;['http://editions-rnti.fr/render_pdf.php?p1&p=1002398'];['http://editions-rnti.fr/render_pdf.php?p=1002398']
23;revue/nouvelles/technologies/information;egc;2018;detection/singularites/temps/reel/combinaison/apprentissage/automatique/web/semantique/bases/spark;;badrebelabbess/musabbairat/jeremylhez/oliviercure;['http://editions-rnti.fr/render_pdf.php?p1&p=1002408'];['http://editions-rnti.fr/render_pdf.php?p=1002408']
24;revue/nouvelles/technologies/information;egc;2018;echantillonnage/motifs/sequentiels/contrainte/norme;echantillonnage/motifs/methode/exhaustive/decouvrir/motifs/pertinents/assure/bonne/interactivite/offrant/garanties/statistiques/fortes/grace/nature/aleatoire/curieusement/approche/exploree/motifs/ensemblistes/graphes/ete/donnees/sequentielles/article/proposons/premiere/methode/echantillonnage/motifs/sequentiels/passage/sequences/originalite/approche/introduire/contrainte/norme/maitriser/longueur/motifs/tires/eviter/ecueil/longue/traine/demontrons/methode/fondee/procedure/aleatoire/etapes/effectue/tirage/exact/malgre/recours/echantillonnage/rejet/experimentations/montrent/reste/performante;laminediop/cheikhtalibouyadiop/arnaudgiacometti/dominiqueli/arnaudsoulet;['http://editions-rnti.fr/render_pdf.php?p1&p=1002367'];['http://editions-rnti.fr/render_pdf.php?p=1002367']
25;revue/nouvelles/technologies/information;egc;2018;edoi/exploration/iterative/grands/graphes/multi/couches/basee/mesure/interet/utilisateur;;antoinelaumond/norbertferon/guymelancon/brunopinaud;['http://editions-rnti.fr/render_pdf.php?p1&p=1002410'];['http://editions-rnti.fr/render_pdf.php?p=1002410']
26;revue/nouvelles/technologies/information;egc;2018;elaboration/utilisation/base/connaissances/domaine/technique;poster/rend/compte/entreprise/elaboration/systeme/representation/connaissances/domaine/geotechnique;nicolasfaure/renemichelfaure;['http://editions-rnti.fr/render_pdf.php?p1&p=1002404'];['http://editions-rnti.fr/render_pdf.php?p=1002404']
27;revue/nouvelles/technologies/information;egc;2018;elimination/liens/inter/langues/errones/wikipedia;lien/inter/langue/wikipedia/lien/mene/article/appartenant/edition/linguistique/article/decrivant/meme/concept/langue/liens/ajoutes/manuellement/utilisateurs/wikipedia/susceptibles/errones/papier/proposons/approche/elimination/automatique/liens/interlangues/principe/base/presence/lien/errone/revelee/existence/chemin/liens/inter/langues/reliant/articles/appartenant/aune/meme/edition/linguistique/approche/elimine/liens/inter/langues/partir/faible/score/correction/chemins/articles/meme/edition/linguistique/resultats/evaluation/graphe/wikipedia/consistant/8/langues/montre/approche/prometteuse;nacerabennacerseghouani/francescabugiotti/jorgegalicia/marianapatricio/gianlucaquercini;['http://editions-rnti.fr/render_pdf.php?p1&p=1002417'];['http://editions-rnti.fr/render_pdf.php?p=1002417']
28;revue/nouvelles/technologies/information;egc;2018;reseaux/sociaux/pouvaient/aider/choix/carriere;article/presentons/methode/analyse/corpus/generer/interfaces/originales/visualisation/domaine/e/recrutement/approche/appuie/millions/profils/issus/reseaux/sociaux/milliers/offres/emploi/collectees/internet/decrivons/travaux/etapes/necessaires/realisation/premiere/visualisation/carte/dynamique/indiquant/metiers/recrutent/domaine/region/tandis/seconde/met/parcours/professionnels/permet/observer/perspectives/antecedents/long/terme/metier/considere;remykessler/guylapalme/fabriziogotti/abdessamadouterqiss/philippelanglais;['http://editions-rnti.fr/render_pdf.php?p1&p=1002391'];['http://editions-rnti.fr/render_pdf.php?p=1002391']
29;revue/nouvelles/technologies/information;egc;2018;etiquetage/thematique/automatise/corpus/representation/semantique;corpus/textes/scientifiques/articles/issus/communautes/chercheurs/differentes/decrits/memes/mots/cles/alors/partagent/meme/thematique/phenomene/cause/problemes/recherche/information/articles/mal/indexes/limite/echanges/potentiellement/fructueux/disciplines/scientifiques/modele/permet/attribuer/automatiquement/etiquette/thematique/articles/moyen/apprentissage/representations/semantiques/articles/corpus/deja/etiquetes/passant/echelle/methode/pu/testee/bibliotheque/numerique/articles/scientifiques/comportant/millions/documents/utilisons/reseau/semantique/synonymes/extraire/davantage/articles/semantiquement/similaires/fusionnons/obtenus/modele/classement/thematique/methode/combinee/presente/meilleurs/taux/rappel/versions/utilisant/reseau/semantique/seul/seule/representation/semantique/textes;luciemartinet/husseintalnatsheh/fabienrico/fabricemuhlenbach/djamelazighed;['http://editions-rnti.fr/render_pdf.php?p1&p=1002396'];['http://editions-rnti.fr/render_pdf.php?p=1002396']
30;revue/nouvelles/technologies/information;egc;2018;evaluation/comparative/algorithmes/centralite/detection/influenceurs;;kevindeturck/damiennouvel/frederiquesegond;['http://editions-rnti.fr/render_pdf.php?p1&p=1002405'];['http://editions-rnti.fr/render_pdf.php?p=1002405']
31;revue/nouvelles/technologies/information;egc;2018;exploration/analyses/multi/objectifs/series/temporelles/donnees/meteorologiques;article/presente/investigations/menees/donnees/mesurees/capteurs/positionnes/villes/ile/reunion/analyses/exploratoires/prealables/permettent/comparer/caracteristiques/statistiques/villes/considerees/relativement/differentes/variables/meteorologiques/mesurees/flux/solaires/diffus/global/pression/atmospherique/humidite/temperature/force/direction/vent/appliquons/transformations/donnees/analyser/series/univariees/multivariees/agregees/heure/journee/deconstruire/modeles/prediction/approche/classique/clusteringde/series/temporelles/testee/algorithmes/biclustering/appliques/successivement/permis/grouper/journees/observations/partageant/parametres/meteorologiques/horaires/caracterisation/biclusters/visualisation/calendaire/succession/recherche/sequences/frequentes/permettent/exploiter/resultats/faciliter/interpretation;yelenper/kevindalleau/malikasmailtabbone;['http://editions-rnti.fr/render_pdf.php?p1&p=1002421'];['http://editions-rnti.fr/render_pdf.php?p=1002421']
32;revue/nouvelles/technologies/information;egc;2018;extraction/chaines/coherentes/vue/reconstuire/trajectoire/information;internet/information/propage/travers/documents/textuels/propagation/souleve/defis/identifier/information/suivre/evolution/temps/comprendre/mecanismes/regissent/propagation/donne/document/grand/corpus/informations/circulent/pouvons/retrouver/chemins/empruntes/information/arriver/document/proposonsde/definir/notion/trajectoire/ensemble/chemins/long/information/propagee/proposons/methode/pourl/estimer/mis/oeuvre/evaluation/humaine/juger/laqualite/chemins/calcules/montrons/evaluations/concordent/plupart/temps/algorithme/efficace/retrouver/bons/chemins;charleshuyghuesdespointes/leilakhouas/julienvelcin/sabineloudcher;['http://editions-rnti.fr/render_pdf.php?p1&p=1002395'];['http://editions-rnti.fr/render_pdf.php?p=1002395']
33;revue/nouvelles/technologies/information;egc;2018;extraction/connaissances/defaillances/compteurs/essieux;article/propose/methode/analyse/enregistrements/operationnels/ensemble/compteurs/essieux/constituent/element/central/infrastructure/ferroviaire/objectif/fournir/facon/efficace/extraire/automatiquement/elements/connaissance/defaillances/systemes/donnees/fournies/contiennent/verite/terrain/causes/defaillances/informations/causes/extraites/relations/tendant/evenements/enregistres/apres/phase/pretraitement/evenements/groupes/fonction/relations/ete/misesen/lumiere/regroupements/ensuite/utilises/creer/classes/evenements/utilisant/systeme/classification/adapte/dela/application/specifique/approche/facon/nouvelle/aborder/problemes/analyse/fiabilite;iwodoboszewski/simonfossier/christophemarsala;['http://editions-rnti.fr/render_pdf.php?p1&p=1002394'];['http://editions-rnti.fr/render_pdf.php?p=1002394']
34;revue/nouvelles/technologies/information;egc;2018;fouille/motifs/graduels/fermes/frequents/contrainte/temporalite;;jerrylonlac/benjaminnegrevergne/yannickmiras/audebeauger/engelbertmephunguifo;['http://editions-rnti.fr/render_pdf.php?p1&p=1002412'];['http://editions-rnti.fr/render_pdf.php?p=1002412']
35;revue/nouvelles/technologies/information;egc;2018;fouille/motifs/temporels/negatifs;article/etudions/probleme/extraction/motifs/frequents/contenant/evenements/positifs/evenements/negatifs/specifiant/absence/evenement/informations/temporelles/delai/evenements/definissons/semantique/motifs/proposons/methode/ntgsp/basee/approches/etat/art/performances/methode/evaluees/donnees/commerciales/fournies/edf/electricite/france;katerinatsesmeli/manelboumghar/thomasguyet/renequiniou/laurentpierre;['http://editions-rnti.fr/render_pdf.php?p1&p=1002386'];['http://editions-rnti.fr/render_pdf.php?p=1002386']
36;revue/nouvelles/technologies/information;egc;2018;interrogation/donnees/structurellement/heterogenes/bases/donnees/orientees/documents;systemes/orientes/documents/permettent/stocker/document/schema/flexibilite/genere/potentielle/heterogeneite/documents/complexifie/interrogation/meme/entite/decrite/schemas/differents/article/presente/approche/dinterrogation/transparente/systemes/orientes/documents/proposons/generer/dictionnaire/facon/automatique/lors/linsertion/documents/associe/attribut/chemins/permettant/dy/acceder/dictionnaire/permet/reecrire/requete/utilisateur/partir/disjonctions/chemins/retrouver/documents/structures/experimentations/montrent/couts/dexecution/requete/reecrite/largement/acceptables/compares/cout/dune/requete/schemas/homogenes;hamdibenhamadou/faizaghozzi/andrepeninou/olivierteste;['http://editions-rnti.fr/render_pdf.php?p1&p=1002430'];['http://editions-rnti.fr/render_pdf.php?p=1002430']
37;revue/nouvelles/technologies/information;egc;2018;kti/mooc/systeme/recommandation/personnalisation/processus/echange/informations/moocs;aider/apprenants/tirer/profit/mooc/massive/openonline/course/suivent/proposons/outil/recommander/liste/ordonnee/apprenants/leaders/capables/soutenir/processus/apprentissage/phase/recommandationest/basee/approche/aide/decision/multicritere/prediction/periodique/apprenants/leaders/donnee/heterogeneite/profils/apprenants/recommandons/leaders/appropries/profil/utilisant/distance/euclidienne/filtrage/demographique;sarrabouzayane/inessaad;['http://editions-rnti.fr/render_pdf.php?p1&p=1002428'];['http://editions-rnti.fr/render_pdf.php?p=1002428']
