id;series;booktitle;year;title;abstract;authors;pdf1page;pdfarticle
1;revue/nouvelles/technologies/information;egc;2018;ideo2017/plateforme/citoyenne/dediee/analyse/tweets/lors/evenements/politiques;plateforme/objectif/permettre/citoyens/analyser/memes/tweets/politiques/lors/evenements/specifiques/france/cas/election/presidentielle/2017/ideo2017/analysait/quasi/temps/reel/messages/candidats/fournissait/principales/caracteristiques/usage/lexique/politique/comparaisons/entre/candidats;claudia/marinica/julien/longhi/nader/hassine/abdulhafiz/alkhouli/boris/borzic;[];[]
2;revue/nouvelles/technologies/information;egc;2018;two/level/co/clustering/algorithm/large/data/sets;classification/croisee/co/clustering/technique/permet/extraire/structure/sous/jacente/existante/entre/lignes/colonnes/table/donnees/sous/forme/blocs/plusieurs/applications/utilisent/technique/cependant/nombreux/algorithmes/co/clustering/actuels/passent/echelle/approches/utilisees/succes/methode/modl/optimise/critere/vraisemblance/regularisee/cependent/tailles/plus/importante/methode/atteint/limite/article/presentons/nouvel/algorithme/co/clustering/deux/niveaux/compte/tenu/critere/modl/permet/traiter/efficacement/donnees/tres/grande/taille/pouvant/tenir/memoire/experiences/montrent/approche/proposee/gagne/temps/calcul/tout/produisant/solutions/qualite;marius/barctus/marc/boulle/fabrice/clerot;[];[]
3;revue/nouvelles/technologies/information;egc;2018;algeospf/modele/factorisation/base/clustering/geographique/recommandation/poi;recommandation/points/interets/devenue/caracteristique/essentielle/reseaux/sociaux/geo/localises/accompagne/emergence/echanges/massifs/donnees/digitales/cependant/faibles/densites/points/interets/visites/utilisateurs/rendentle/probleme/difficile/traiter/autant/plus/espaces/mobilite/utilisateurs/tres/heterogenes/allant/ville/monde/entier/papier/explorons/impact/approche/clustering/spatial/qualite/recommandation/approche/basee/modele/factorisation/matrices/poisson/reseau/social/infere/differents/comportements/mobilite/conduit/evaluation/comparative/performances/approche/unjeu/donnees/realiste/resultats/experimentaux/montrent/approche/permet/precision/superieure/techniques/recommandation/alternatives;jean/benoit/griesner/talel/abdesssalem/hubert/naacke/pierre/dosne;[];[]
4;revue/nouvelles/technologies/information;egc;2018;analyse/sentiments/partir/commentaires/facebook/publies/arabe/standard/dialectal/marocain/approche/apprentissage/automatique;analyse/sentiments/processus/pendant/lequel/polarite/positive/negative/neutre/texte/donne/determinee/nous/interessons/travail/analyse/sentiments/partir/commentaires/facebook/reels/partages/arabe/standard/dialectal/marocain/approche/basee/apprentissage/automatique/processus/commence/collecte/commentaires/annotation/aide/crowdsourcing/suivi/phase/pretraitement/texte/afin/extraire/mots/arabes/reduits/racine/mots/vont/etre/utilises/construction/variables/entreeen/utilisant/plusieurs/combinaisons/schemas/extraction/ponderation/reduire/dimensionnalite/methode/selection/variables/appliquee/resultats/obtenus/experimentations/tres/prometteurs;abdeljalil/elouardighi/mohcine/maghfour/hafdalla/hammia/fatima/zahra/aazi;[];[]
5;revue/nouvelles/technologies/information;egc;2018;analyse/roles/semantiques/resume/automatique;article/presente/approche/visant/extraire/informations/exprimees/corpus/textes/produire/resume/plusieurs/variantes/methodes/extractives/resume/texte/ete/implementees/evaluees/principale/originalite/reside/exploitation/structures/appelees/cds/pourclause/description/structure/issues/composant/annotation/roles/semantiqueset/non/directement/phrases/composant/textes/resume/obtenuest/sous/ensemble/cds/issus/corpus/origine/format/permettradans/suite/detection/incoherences/textuelles/travail/retransformons/cds/resumes/texte/permettre/comparaison/approche/celles/litterature/premiers/resultats/tres/encourageants/variantes/proposons/obtiennent/generalement/meilleurs/scores/implementations/methodes/reference;elyase/lassouli/yasmine/mesbahi/camille/pradel/damien/sileo;[];[]
6;revue/nouvelles/technologies/information;egc;2018;analyse/ontologique/scenario/contexte/big/data;;marwan/batrouni/aurelie/bertaux/christophe/nicolle;[];[]
7;revue/nouvelles/technologies/information;egc;2018;apport/fouille/donnees/prevention/risque/suicidaire;plus/800/000/deces/monde/suicide/troisieme/cause/deces/evitable/20/fois/plus/tentatives/impliquant/nombreuses/hospitalisations/couts/humains/societaux/enormes/dernieres/annees/modalites/collecte/donnees/sociologiques/cliniques/concernant/patients/recus/consultation/apres/tentative/connu/profonds/changements/lies/outils/numeriques/presentons/principaux/resultats/processus/complet/fouille/donnees/echantillon/suicidants/deux/hopitaux/europeens/premier/objectif/identifier/groupes/patients/similaires/second/identifier/facteurs/risque/associes/nombre/tentatives/methodes/non/supervisees/acm/clustering/supervisees/arbres/regression/appliquees/repondre/resultats/mettent/lumiere/apport/fouille/donnees/fins/descriptives/explicatives;romain/billot/sofian/berrouiguet/mark/larsen/michel/walter/jorge/lopez/castroman/enrique/baca/garcia/philippe/courtet/philippe/lenca;[];[]
8;revue/nouvelles/technologies/information;egc;2018;apport/modeles/locaux/k/moyennes/predictives;cadre/clustering/predictif/attribuer/classe/groupes/formes/fin/phase/apprentissage/vote/majoritaire/methode/communement/utilisee/cependant/approche/comporte/certaines/limitations/influent/directement/qualite/resultats/obtenus/termes/prediction/surmonter/probleme/proposons/incorporer/modeles/predictifs/localement/clusters/formes/afin/ameliorer/qualite/predictive/modele/global/resultats/experimentaux/montrent/incorporation/permet/obtenir/resultats/termes/prediction/significativement/meilleurs/rapport/ceux/obtenus/utilisant/vote/majoritaire/ainsi/resultats/tres/competitifs/ceux/obtenus/algorithmes/performants/apprentissage/supervise/similaires/effectue/degrader/pouvoir/descriptif/explicatif/modele/global;vincent/lemaire/oumaima/alaoui/ismaili;[];[]
9;revue/nouvelles/technologies/information;egc;2018;apprendre/relations/preference/co/occurrence/entre/labels/classification/multi/labels;classification/multi/labels/chaque/instance/associee/plusieurs/labels/exemple/morceau/musique/peut/etre/associe/labels/heureux/relaxant/relations/co/occurrence/peuvent/exister/entre/labels/exemple/labels/heureux/triste/peuvent/etre/associes/meme/morceau/musique/labels/peuvent/aussi/relations/preference/exemple/morceau/musique/contenant/plusieurs/piques/label/heureux/prefere/rapport/label/relaxant/relations/entre/labels/peuvent/aider/mieux/predire/labels/associes/instances/approches/existantes/peuvent/apprendre/relations/co/occurrence/relations/preference/travail/introduit/approche/permettant/combiner/apprentissage/deux/types/relations/experimentations/meneesmontrent/nouvelle/approche/introduite/offre/meilleurs/resultatsde/prediction/rapports/cinq/approches/etat/art;khalil/laghmari/christophe/marsala/mohammed/ramdani;[];[]
10;revue/nouvelles/technologies/information;egc;2018;approche/contextuelle/regression/tests/b;tests/b/procedures/utilisees/entreprises/web/sante/entre/autres/mesurer/impact/changement/version/variable/rapport/objectif/bien/nombre/plus/plus/important/donnees/disponible/mise/place/concrete/tel/test/peut/impliquer/cout/important/relatif/observation/evaluation/variation/lorsque/celle/ci/optimale/papier/presentons/nouvelle/approche/integrant/principe/bandit/contextuel/prenant/compte/variables/via/procedure/destratification;emmanuelle/claeys/pierre/gancarski/myriam/maumy/bertrand;[];[]
